weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_avg_BODY_att,B_avg_CLINCH_att,B_avg_DISTANCE_att,B_avg_GROUND_att,B_avg_HEAD_att,B_avg_KD,B_avg_LEG_att,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_CLINCH_att,B_avg_opp_DISTANCE_att,B_avg_opp_GROUND_att,B_avg_opp_HEAD_att,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_Stance_Switch,B_Stance_Southpaw,B_Stance_OpenStance,R_Stance_Southpaw,R_Stance_Orthodox,R_Stance_Switch,R_Stance_OpenStance
12,5,0,1,-0.019569471600456634,-0.11981747062682202,-0.07243835771204093,-0.0998062015588006,-0.15178571429310456,0,0.06630533011173334,-0.914285714,-0.142857143,-0.1436165252970939,-0.17671428599999994,0.27142857099999995,0.027777777707561735,-0.37642857100000005,-0.19804144765635123,1,4,0.13980322011859314,0.006756756669831887,-0.015783848479031193,0.18518518518518523,0.11432698011340756,0.1,0.083333333370338325,0.25714285699999984,0,0.008698028230174903,-0.029142857000000022,0.41428571399999997,0.13043478267485825,0.08385714300000002,-0.02263543444324473,4,-213,-2,0,1,-1,0,-2,1,-1,2.539999999999992,0,0,0,0,0,1,0,0,0
1,3,-1,4,0.26188557614826746,0.09787234042553195,0.054263882312603096,0.1826923076923077,0.1642289454351165,0.125,-0.05128205128205121,0.375,0.25,0.1062003571208669,0.18375000000000002,0.25,0.2222222222222222,0.18374999999999997,0.12820671631904834,-1,-2,-0.17069790879314695,-0.19318181818181823,-0.08951370468611852,-0.1428571428571428,-0.0027218876976550788,0.125,-0.2534157449577099,0,0,-0.09346055220284283,-0.10874999999999996,0,0.16666666666666666,0.0975,-0.097569571312701,-11,-38.25,0,0,-1,-2,1,0,0,-2,7.6200000000000045,-2.539999999999992,0,1,0,0,0,1,0,0
5,3,-1,1,-0.018026565464895672,0.14090909090909098,-0.191664828566527,-1,-0.2043734230445753,-0.5,0.19999999999999996,-0.25,0,-0.21987705120235246,-0.23500000000000004,0,0,0,-0.211826462868612,-2,0,-0.20705882352941174,0.2222222222222222,0.05646840678933107,-0.3548387096774194,0.0467923813133706,-0.25,0.27056277056277056,-0.75,0,0.028865295288652948,0.03249999999999997,0,0,0,-0.020721481570851186,1,759.25,0,0,0,0,-2,0,0,-2,-7.6200000000000045,-5.0800000000000125,-14,0,1,0,1,0,0,0
13,3,-1,0,-0.01911216560520801,-0.11117511516640033,0.05870708177539913,0.03921568632122263,0.0017050500585690243,0,0.10987958409643894,-0.527777778,0.13888888900000002,0.03263093525545946,0.12249999999999994,0.25,0.3571428573265306,0.069444444,0.07893762381418862,-2,-2,6.779659271761718e-4,0.094763513715997,-0.12082017890337265,-0.1964912281501755,-0.08601300595721623,-0.111111111,-0.21023391789473678,2.194444444,0.13888888900000002,-0.11039947184442378,-0.08944444400000001,0.027777778000000003,0.20084566592300507,0.10888888899999999,-0.07460910835227791,-15,-84.11111110000002,-1,0,-1,-2,0,0,0,-3,5.079999999999984,5.079999999999984,0,0,0,0,0,1,0,0
3,3,0,0,-0.15282758619921655,-0.6031746031746033,0.01533660936060588,-0.10164835172878806,0.048002350602733834,0.366666667,0.10691823858653737,-0.666666667,-0.4,-0.05660574154474435,-0.057999999999999996,-0.666666667,0.047619047504251666,-0.13633333299999997,-0.12046828242392282,-2,-4,-0.005890227576974549,-0.2664473683457179,0.09091999311126459,-0.8269230769397189,0.002923442273606802,-0.2,0.0631713555423199,-0.933333333,0,0.03206995848787719,0.010499999999999954,-0.466666667,-0.31666666649999997,-0.255,-0.06088554718217232,-24,46.68333329999996,-1,0,0,-2,-2,-3,0,-7,7.6200000000000045,2.539999999999992,0,0,0,0,0,1,0,0
13,3,0,-2,0.13329583803555367,0.05916666691276051,0.05939754156643123,0.2307692303942307,0.0485477591425596,0.2,0.2480000000360001,0.1,0.1,0.09598426705275115,0.07666666699999997,0,0.37499999999999994,0.25,0.12146407378797086,-2,6,0.017571548894791067,-0.04131455399061035,0.006874398065353449,0.25133689834613515,-0.0057204570583193615,0,-0.07137681155450526,0.333333333,0,0.019493517209492828,0.04199999999999998,0.2,-0.0780141845638298,0.254,-0.019436022806742448,17,-136.89999999999998,0,0,0,1,0,0,0,1,-5.079999999999984,2.539999999999992,0,0,0,0,0,1,0,0
8,3,0,0,0.3187134502584641,0.07751937959698951,-0.09344373571413672,0.6388888889266976,0.11244514110916753,0.285714286,-0.1708333334733333,0.285714286,0,0.0035714872661363195,0.024285714000000014,0,0.4117647058096886,0.241428571,0.039473684254289765,2,4,0.291060290942687,0.6976744183263927,-0.07954545451652895,0.6315789473296399,0.13808859962544284,-1,0.11695906457956295,0.714285714,0,0.024510489403791302,-0.0014285709999999896,0.714285714,0.3636363636652893,0.28,0.08506103472450566,11,-203.2857143,0,0,0,0,2,0,0,2,-7.6200000000000045,-12.699999999999989,0,0,0,0,0,1,0,0
12,3,-1,2,-0.007218044871954321,0.048049989175177665,0.16872698997278696,-0.1472795497540772,0.15747858858427985,0.208333333,-0.06710526319944599,1.25,0.25,0.19309904983339843,0.24125000000000002,0.333333333,0.5294117647058824,0.26,0.24071532696617842,-1,1,0.17643467656509548,0.07707317064961328,0.1007544771619926,-0.1599999998199999,0.17608425049806734,0,-0.2156409385465209,0.958333333,0,0.13711240308139538,0.179166667,0.5,0.0931174088404006,0.10749999999999998,0.16031200986275174,0,-271.375,0,0,-1,0,1,1,0,1,-7.6200000000000045,-7.6200000000000045,0,0,0,0,0,1,0,0
6,5,0,0,0.11359404081385316,0.2114285715368126,0.10306487317478036,0.013793103578596866,0.08615199650327587,-0.145454545,0.16991341989285713,-0.678787878,0.181818182,0.10023315919710352,0.12260606000000002,0.03030303099999998,-0.11428571406122451,-0.20696969699999998,0.05864340709636545,-3,-1,0.15359875762193154,0.006221796810834235,0.04454785479906881,0.018722645582771813,0.0577308018648694,0.115151515,0.132579365405454,0.5333333330000001,0.090909091,0.0931622929823332,-0.029878787999999934,-0.042424242,0.3478260870362418,0.22927272699999998,0.13179107703195514,-11,-35.866666699999996,-2,0,0,-2,0,-1,0,-3,-2.5400000000000205,-7.6200000000000045,0,0,0,0,0,1,0,0
6,3,-3,3,0.03722084390848035,-0.1387096776475909,-0.06299686673538424,0.21637426823911632,0.10726757901952244,0.393939394,-0.1816666668761,1.2424242419999998,0,-0.007586130158520832,0.029393940000000063,-0.181818182,0.41249999975109375,0.159090909,0.10986241278106601,0,-5,-0.7676767676666666,0.10437956185072239,-0.026683802473970675,0.27500000034781247,0.0509378491452972,-0.12121212199999998,-0.1388888887569445,-0.484848485,0,-0.0196647677705179,-0.01454545500000004,0,-0.17267552172394313,-0.21696969700000002,0.008766038058333092,-14,225.93939399999994,0,0,0,1,-2,0,-2,-3,7.6200000000000045,-2.539999999999992,0,0,0,0,0,1,0,0
