id,gender,race
1,f,indian
2,f,white
3,m,black
4,m,white
5,m,white
6,m,black
7,m,black
8,f,white
9,m,black
10,f,indian
11,m,black
12,m,white
13,m,white
14,m,black
15,f,white
16,m,white
17,f,indian
18,m,black
19,m,indian
20,f,indian
21,m,black
22,m,white
23,m,white
24,f,black
25,m,indian
26,m,black
27,m,indian
28,m,white
29,m,white
30,f,white
31,m,indian
32,m,black
33,m,white
34,m,indian
35,m,white
36,f,white
37,f,white
38,f,indian
39,m,white
40,m,white
41,m,black
42,f,indian
43,m,white
44,m,white
45,m,white
46,m,white
47,m,white
48,m,black
49,m,white
50,f,indian
51,m,black
52,m,white
53,m,white
54,f,indian
55,m,white
56,m,white
57,f,indian
58,m,black
59,m,black
60,m,white
61,m,white
62,m,indian
63,m,white
64,m,indian
65,f,indian
66,m,indian
67,m,indian
68,m,black
69,m,white
70,m,black
71,m,white
72,m,white
73,m,black
74,m,indian
75,f,black
76,m,white
77,m,white
78,m,black
79,m,white
80,f,white
81,m,indian
82,m,white
83,m,black
84,m,white
85,f,indian
86,m,black
87,m,black
88,m,black
89,f,indian
90,m,black
91,m,hispanic
92,m,hispanic
93,m,white
94,m,indian
95,f,white
96,m,indian
97,m,black
98,m,indian
99,m,white
100,m,black
101,m,white
102,m,indian
103,m,white
104,m,white
105,m,black
106,m,white
107,m,black
108,f,black
109,m,white
110,m,black
111,m,white
112,m,white
113,m,indian
114,m,white
115,m,black
116,m,white
117,m,white
118,m,white
119,m,black
120,f,white
121,m,white
122,m,white
123,m,hispanic
124,m,black
125,f,indian
126,m,white
127,m,white
128,m,white
129,f,indian
130,m,white
131,m,black
132,m,hispanic
133,m,black
134,m,white
135,m,black
136,m,hispanic
137,f,indian
138,f,black
139,m,black
140,f,indian
141,m,black
142,m,indian
143,m,black
144,f,indian
145,m,white
146,m,white
147,m,indian
148,m,white
149,f,white
150,f,indian
151,m,white
152,f,indian
153,m,black
154,m,white
155,f,white
156,m,indian
157,f,indian
158,m,white
159,m,white
160,m,white
161,m,black
162,f,indian
163,m,black
164,m,black
165,m,black
166,m,black
167,m,white
168,m,black
169,m,white
170,m,black
171,m,indian
172,m,hispanic
173,m,white
174,m,black
175,f,indian
176,m,indian
177,m,white
178,m,white
179,f,indian
180,m,black
181,m,black
182,m,indian
183,m,white
184,m,black
185,m,white
186,m,indian
187,m,indian
188,m,black
189,m,indian
190,f,indian
191,m,indian
192,m,black
193,m,white
194,m,white
195,m,black
196,m,white
197,m,black
198,m,white
199,m,hispanic
200,f,indian
201,m,white
202,m,white
203,m,black
204,m,black
205,m,black
206,m,white
207,m,indian
208,m,black
209,m,indian
210,m,white
211,m,white
212,m,black
213,m,black
214,m,white
215,m,white
216,m,black
217,m,white
218,m,white
219,m,white
220,m,black
221,m,black
222,m,white
223,f,indian
224,m,indian
225,m,white
226,f,indian
227,m,white
228,m,indian
229,m,white
230,m,white
231,m,indian
232,m,black
233,m,black
234,m,indian
235,m,white
236,m,black
237,m,black
238,m,white
239,m,black
240,m,white
241,m,white
242,f,black
243,m,black
244,f,indian
245,m,indian
246,m,white
247,m,white
248,m,black
249,m,white
250,m,black
251,f,black
252,m,white
253,m,white
254,m,white
255,m,black
256,m,black
257,m,white
258,m,black
259,m,hispanic
260,m,black
261,m,white
262,m,white
263,m,black
264,m,black
265,m,white
266,m,white
267,m,white
268,f,white
269,m,white
270,m,indian
271,f,indian
272,m,black
273,m,black
274,m,white
275,m,white
276,m,black
277,m,black
278,m,indian
279,m,white
280,m,white
281,m,indian
282,m,white
283,f,indian
284,m,indian
285,m,indian
286,m,white
287,m,white
288,m,black
289,f,white
290,m,indian
291,m,white
292,m,indian
293,m,white
294,m,white
295,m,white
296,m,black
297,f,white
298,m,white
299,f,black
300,m,white
301,m,black
302,m,black
303,m,indian
304,m,black
305,m,black
306,m,white
307,m,indian
308,m,black
309,m,white
310,m,black
311,m,white
312,m,white
313,m,indian
